Date,Forecasted_Revenue,Growth_5%,Growth_10%,Decline_5%,Decline_10%
2025-01-01,604372.1,634590.7,664809.4,574153.5,543934.9
2025-02-01,606459.6,636782.56,667105.6,576136.6,545813.6
2025-03-01,608029.56,638431.0,668832.56,577628.06,547226.56
2025-04-01,609228.4,639689.75,670151.25,578766.94,548305.5
2025-05-01,610277.2,640791.0,671304.94,579763.3,549249.44
2025-06-01,610962.6,641510.75,672058.9,580414.5,549866.4
2025-07-01,611691.2,642275.7,672860.3,581106.6,550522.06
2025-08-01,611938.56,642535.44,673132.44,581341.6,550744.7
2025-09-01,612297.1,642911.94,673526.9,581682.25,551067.4
2025-10-01,612419.5,643040.44,673661.44,581798.5,551177.56
2025-11-01,612374.56,642993.25,673612.06,581755.8,551137.06
2025-12-01,612163.6,642771.75,673380.0,581555.44,550947.25
