Date,Forecasted_Revenue,Growth_5%,Growth_10%,Decline_5%
2025-08-19,1010508,1061034,1111559,959983
2025-09-18,1052843,1105485,1158128,1000201
2025-10-18,1114540,1170267,1225994,1058813
2025-11-17,1150092,1207597,1265101,1092587
2025-12-17,1146166,1203474,1260782,1088858
2026-01-16,1129977,1186476,1242974,1073478
2026-02-15,1123113,1179268,1235424,1066957
2026-03-17,1093344,1148012,1202679,1038677
2026-04-16,1060518,1113544,1166570,1007492
2026-05-16,1091036,1145588,1200140,1036485
2026-06-15,1119418,1175388,1231359,1063447
2026-07-15,1167266,1225629,1283992,1108902
