Date,Forecasted_Revenue,Growth_5%,Growth_10%,Decline_5%
2025-08-19,1010570,1061098,1111626,960041
2025-09-18,1056878,1109722,1162566,1004034
2025-10-18,1141769,1198857,1255946,1084680
2025-11-17,1160790,1218829,1276869,1102750
2025-12-17,1120439,1176461,1232483,1064417
2026-01-16,1134549,1191277,1248004,1077822
2026-02-15,1066559,1119887,1173215,1013231
2026-03-17,1058913,1111859,1164804,1005967
2026-04-16,1049727,1102213,1154699,997240
2026-05-16,1001939,1052035,1102132,951842
2026-06-15,1079171,1133130,1187088,1025213
2026-07-15,1116824,1172666,1228507,1060983
